4348786	1973	06	07
39111	1979	11	21
566305	1978	08	28
42779	1980	03	27
521996	1980	03	27
560474	1977	09	17
1271296	1976	08	02
42780	1980	03	27
190384	1977	04	25
312319	1979	07	16
599418	1978	03	10
671284	1978	09	15
671293	1978	09	15
957158	1976	10	20
1080064	1975	11	06
1085354	1976	10	20
49421	1975	10	07
5912216	1966	11	27
4296698	1968	06	25
4297537	1968	07	30
4357869	1974	02	13
5965893	1967	07	30
4329008	1971	12	08
4350771	1973	08	06
4856656	1974	06	12
59804	1976	10	02
237119	1975	08	22
4116105	1972	11	16
4253676	1971	08	18
4717152	1973	09	12
5965900	1967	07	30
16992314	2010	06	29
62833	1977	01	29
182968	1976	10	20
4118049	1973	02	02
4137933	1974	12	16
4323933	1971	05	26
4346990	1973	04	06
4764432	1974	02	22
4764434	1974	02	22
5145722	1972	06	19
5145723	1972	06	19
5409776	1970	02	05
69706	1977	09	17
69707	1977	09	17
166159	1975	08	18
166160	1975	08	18
1177154	1975	12	20
1254640	1976	06	02
4133039	1974	06	26
4333037	1972	04	04
4546945	1974	11	18
72147	1977	12	29
72148	1977	12	29
950596	1976	10	02
92475	1980	02	28
130483	1976	05	25
184271	1976	12	01
957208	1976	10	20
1176531	1975	12	20
1206535	1976	03	11
94092	1980	05	14
99513	1978	11	22
604454	1978	04	17
4683095	1973	03	05
5499034	1971	03	25
96446	1978	09	01
894536	1977	10	14
97378	1978	09	25
128457	1976	04	01
874886	1977	08	12
4237132	1969	04	08
4263681	1973	01	05
4353409	1973	10	14
4420490	1975	01	16
5499805	1971	03	31
17795075	2010	06	07
1185680	1976	02	02
107308	1979	06	11
203674	1978	04	17
206910	1978	07	15
938796	1976	09	25
108390	1979	07	16
5575337	1971	07	06
16992312	2010	06	29
112241	1979	10	17
117076	1980	02	15
181562	1976	10	02
209172	1978	09	15
411919	1978	01	27
411920	1978	01	27
660160	1978	08	28
994041	1977	01	29
4405552	1973	04	02
133238	1976	10	01
224166	1979	10	17
1086355	1976	12	30
5645545	1968	06	03
16068190	2006	04	26
